"Id","Name","Type","MaxForce","MaxStroke","RingRollOffset","RingRollValve","SleeveOffset","RingRollDiameter","RingRollDiameterValve","Valid"
78,"DS-6-15 M5/M6 M5",3,"400","400","0","6","0","14","14",True
79,"GS-3-10 M3/M3 DELETE",1,"250","75","0","6","25","8.2","8.2",False
33,"G-14-28 M8/M10 M10",1,"2500","1000","0","12","0","26","26",True
80,"G-14-28 M10 M10",1,"2500","1000","0","12","0","26","26",True
28,"GP-10-23 M8 M8 PS",1,"1250","500","0","10","55","21.5","21.5",False
41,"GPS-22-38 M14 M14 PS",1,"7500","1000","-15","17","68","36","36",True
35,"GVS-14-28 M10 M10 SV",1,"2500","1000","0","12","56","26","26",True
39,"GS-22-38 M14 M14 HT",1,"7500","1000","-15","17","0","36","36",True
7,"GS-8-18 M6 M6",1,"750","400","0","8","0","17","17",True
19,"GPS-8-18 M8 M8 PS",1,"750","650","0","8","55","17","17",True
42,"GPE-25-45 CINCINNATI",1,"1250","1500","0","0","100","0","0",True
52,"GLOS-14-28 M10 M10 SAFETYEXT.",1,"2500","1000","0","12","0","26","26",False
27,"GPS-10-28 M10 M10 PS",1,"1250","500","0","12","58","26","26",True
2,"GS-8-18 M8 M8 superceded by id 93",1,"750","400","0","8","0","17","17",False
72,"GE-8-18 M8 M8 SV",1,"750","500","0","8","0","17","17",False
68,"G-6-15 M5/M6 M5 ALL CS/ALU MB SEAL",1,"400","400","0","6","0","14","14",False
12,"GVS-6-15 M5/M6 M5  SV ",1,"400","400","0","6","0","14","14",True
11,"GV-6-15 M5/M6  M5 SV",1,"400","400","0","6","0","14","14",True
73,"GV-10-23 M8/M10 M8 SV VITON",1,"1250","500","0","8.3","0","21.5","21.5",False
34,"GVE-14-28 M8/M10 M10 SV",1,"2500","1000","0","13.25","0","26","26",True
6,"GS-10-23 M8/M8 ",1,"1250","500","0","10","0","21.5","21.5",True
77,"TS-10-20-38 M10 M10",2,"2500","500","-24.5","0","0","0","0",True
57,"G-6-15 M5/M6 M5 - Valve CS - 2 WAY MB SEAL",1,"400","400","0","6","0","14","14",False
50,"TS-10-24-38 M10 M10",2,"2500","500","-23","0","0","0","0",True
14,"G-6-15 M5/M6 M6 - Valve SS MB SEAL",1,"400","400","0","6","0","14","14",False
1,"GS-6-15 M5/M6 M5 MB",1,"400","400","0","6","0","14","14",False
4,"GS-6-15 M5/M6 M6 MB",1,"400","400","0","6","0","14","14",False
31,"GPS-14-28 M10 M10 ",1,"2500","1000","0","12","58","26","26",True
23,"GPS-10-23 M8 M8 PS",1,"1250","500","0","10","55","21.5","21.5",True
59,"GPS-10-23 M10 M10 PS",1,"1250","500","0","10","55","21.5","21.5",True
55,"PACE ONLY G-6-15 M5/M6 M5 - Valve CS - Tube,Rod,Brg SS Poly seal",1,"400","400","0","6","0","14","14",True
67,"DS-8-18 M8 M8 ",3,"750","400","0","8","0","17","17",True
26,"G-10-28 M8/M10 M10 ",1,"1250","500","0","12","0","26","26",True
40,"G-22-38 M14 M14",1,"7500","1000","-16.5","0","0","0","0",True
81,"DS-8-18 M8 M8 CR2.0 FG POLY",3,"750","400","0","8","0","17","17",True
82,"GS-14-28 M10 M10 FG",1,"2500","1000","0","12","0","26","26",True
103,"DE-8-23 M8 M8 CR2.0 1 WAY  SEP PIS",3,"750","400","0","10","0","21.5","21.5",True
125,"G-6-15 M5/M6 M5 - Valve CS - 2 WAY POLY SEAL",1,"400","400","0","6","0","14","14",True
119,"GS-8-18 M8 M8_8MM THREAD LENGTH HT VITON",1,"750","400","0","8","0","17","17",True
104,"TS-10-20-38 HT",2,"2500","500","-24.5","0","0","0","0",True
